callsign,mmsi,position,heading,sog,cog,rot,length,width,draught,eta,theme,shiptype,imo,timestamp,destination,id,radarid,referenceid,name,navstatus,bow,stern,port,starboard
null,0,"(53.5137329101562,8.13995170593262)",511,0,90,-1,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841227,,,,,,,,
null,211227130,"(53.685675,7.360455)",1,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841228,,,,,,,,
null,265346464,"(54.009625,8.16193666666667)",276,15.3999996185303,276.5,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:53+01,"",132841229,,,,,,,,
null,211113790,"(53.8643333333333,7.86616666666667)",12,2.5,292,-180,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841230,,,,,,,,
null,229926000,"(53.87972,9.11353333333333)",265,14.5,263.6,240,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841231,,,,,,,,
null,211290750,"(53.560125,8.558265)",11,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841232,,,,,,,,
null,211290750,"(53.560125,8.558265)",11,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841233,,,,,,,,
null,211692820,"(53.626205,7.15905833333333)",350,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841234,,,,,,,,
null,211458374,"(53.868895,8.10874)",145,8.19999980926514,145.9,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841235,,,,,,,,
null,211458374,"(53.868895,8.10874)",145,8.19999980926514,145.9,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841236,,,,,,,,
null,440161000,"(53.57585,8.5505)",185,0.100000001490116,189,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841237,,,,,,,,
null,440161000,"(53.57585,8.5505)",185,0.100000001490116,189,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841238,,,,,,,,
null,211601464,"(53.6797333333333,7.48532833333333)",19,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841239,,,,,,,,
null,219022062,"(53.605325,8.50105)",139,5.19999980926514,142.4,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841240,,,,,,,,
null,219022062,"(53.605325,8.50105)",139,5.19999980926514,142.4,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841241,,,,,,,,
null,310694464,"(53.9743333333333,7.966)",82,10.1999998092651,79,480,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841242,,,,,,,,
null,310694464,"(53.9743333333333,7.966)",82,10.1999998092651,79,480,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841243,,,,,,,,
null,211539464,"(53.5015166666667,7.09574833333333)",28,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841244,,,,,,,,
null,636026628,"(54.09282,7.762485)",116,10,118.5,600,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841245,,,,,,,,
null,636026628,"(54.09282,7.762485)",116,10,118.5,600,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841246,,,,,,,,
null,305695464,"(53.9831916666667,7.66226333333333)",299,9.60000038146973,304.1,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841247,,,,,,,,
null,305695464,"(53.9831916666667,7.66226333333333)",299,9.60000038146973,304.1,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841248,,,,,,,,
null,211460464,"(53.7382033333333,8.51632666666667)",321,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841250,,,,,,,,
null,218384000,"(53.5621016666667,8.56343166666667)",290,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841251,,,,,,,,
null,211143784,"(53.70883,7.81092)",111,0.699999988079071,95.3,-7560,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:54+01,"",132841252,,,,,,,,
